date,ibe_battery_prod,ibe_hydro-reservoir_prod,ibe_hydro-pumped_prod,ibe_battery_cons,ibe_hydro-reservoir_cons,ibe_hydro-pumped_cons,ibe_battery_soc,ibe_hydro-reservoir_soc,ibe_hydro-pumped_soc
2025-01-06 11:00:00,0.0,78.45550000000003,-10119.0,-0.0,-0.0,10119.0,-0.0,12461001.821940003,5918934.36671
2025-01-06 12:00:00,-200.0,0.0,-10119.0,200.0,-0.0,10119.0,190.0,12461002.821940003,5929054.36671
2025-01-06 13:00:00,-200.0,0.0,-10119.0,200.0,-0.0,10119.0,380.0,12461003.821940003,5939174.36671
2025-01-06 14:00:00,0.0,0.0,-10080.522360000003,-0.0,-0.0,10080.522360000003,380.0,12461004.821940003,5949255.88907
2025-01-06 15:00:00,0.0,0.0,-6918.42086,-0.0,-0.0,6918.42086,380.0,12461005.821940003,5956175.3099299995
2025-01-06 16:00:00,0.0,0.0,2729.542640000002,-0.0,-0.0,-0.0,380.0,12461006.821940003,5953446.76729
2025-01-06 17:00:00,0.0,5153.288759999998,10119.0,-0.0,-0.0,-0.0,380.0,12455854.533180002,5943328.76729
2025-01-06 18:00:00,0.0,9970.91028,10119.0,-0.0,-0.0,-0.0,380.0,12445884.622900002,5933210.76729
2025-01-06 19:00:00,0.0,15179.0,7313.532879999999,-0.0,-0.0,-0.0,380.0,12430706.622900002,5925898.23441
2025-01-06 20:00:00,0.0,14497.958429999999,10119.0,-0.0,-0.0,-0.0,380.0,12416209.664470002,5915780.23441
2025-01-06 21:00:00,0.0,14198.74538,10119.0,-0.0,-0.0,-0.0,380.0,12402011.919090003,5905662.23441
2025-01-06 22:00:00,0.0,15179.0,5023.3918300000005,-0.0,-0.0,-0.0,380.0,12386833.919090003,5900639.84258
2025-01-06 23:00:00,0.0,15179.0,1012.4725000000017,-0.0,-0.0,-0.0,380.0,12371655.919090003,5899628.37008
2025-01-07 00:00:00,0.0,15179.0,-2251.9072099999994,-0.0,-0.0,2251.9072099999994,380.0,12356477.919090003,5901881.27729
2025-01-07 01:00:00,0.0,15179.0,-5841.492759999999,-0.0,-0.0,5841.492759999999,380.0,12341299.919090003,5907723.7700499995
2025-01-07 02:00:00,0.0,15179.0,-8726.078309999999,-0.0,-0.0,8726.078309999999,380.0,12326121.919090003,5916450.848359999
2025-01-07 03:00:00,0.0,14010.819029999999,-10119.0,-0.0,-0.0,10119.0,380.0,12312112.100060003,5926570.848359999
2025-01-07 04:00:00,0.0,12125.366559999999,-10119.0,-0.0,-0.0,10119.0,380.0,12299987.733500002,5936690.848359999
2025-01-07 05:00:00,0.0,10543.047169999998,-10119.0,-0.0,-0.0,10119.0,380.0,12289445.686330002,5946810.848359999
2025-01-07 06:00:00,0.0,11097.82457,-10119.0,-0.0,-0.0,10119.0,380.0,12278348.861760002,5956930.848359999
2025-01-07 07:00:00,0.0,13415.50311,-10119.0,-0.0,-0.0,10119.0,380.0,12264934.35865,5967050.848359999
2025-01-07 08:00:00,0.0,15179.0,-9134.45548,-0.0,-0.0,9134.45548,380.0,12249756.35865,5976186.303839999
2025-01-07 09:00:00,0.0,15179.0,-7779.258569999998,-0.0,-0.0,7779.258569999998,380.0,12234578.35865,5983966.562409999
2025-01-07 10:00:00,0.0,15179.0,-7722.0793600000015,-0.0,-0.0,7722.0793600000015,380.0,12219400.35865,5991689.641769999
2025-01-07 11:00:00,0.0,15179.0,-8247.17379,-0.0,-0.0,8247.17379,380.0,12204222.35865,5999937.815559999
2025-01-07 12:00:00,0.0,15179.0,-8007.36896,-0.0,-0.0,8007.36896,380.0,12189044.35865,6007946.184519999
2025-01-07 13:00:00,0.0,15179.0,-9121.266660000003,-0.0,-0.0,9121.266660000003,380.0,12173866.35865,6017068.451179999
2025-01-07 14:00:00,0.0,15179.0,-9796.54318,-0.0,-0.0,9796.54318,380.0,12158688.35865,6026865.994359999
2025-01-07 15:00:00,0.0,14966.120160000002,-10119.0,-0.0,-0.0,10119.0,380.0,12143723.23849,6036985.994359999
2025-01-07 16:00:00,0.0,15179.0,-7921.64883,-0.0,-0.0,7921.64883,380.0,12128545.23849,6044908.643189999
2025-01-07 17:00:00,0.0,15179.0,-3652.3632399999988,-0.0,-0.0,3652.3632399999988,380.0,12113367.23849,6048562.006429999
2025-01-07 18:00:00,0.0,15179.0,40.373130000001765,-0.0,-0.0,-0.0,380.0,12098189.23849,6048522.633299999
2025-01-07 19:00:00,0.0,15179.0,2279.8539199999977,-0.0,-0.0,-0.0,380.0,12083011.23849,6046243.779379999
2025-01-07 20:00:00,0.0,15179.0,3259.89833,-0.0,-0.0,-0.0,380.0,12067833.23849,6042984.881049999
2025-01-07 21:00:00,0.0,15179.0,1639.5608699999975,-0.0,-0.0,-0.0,380.0,12052655.23849,6041346.320179999
2025-01-07 22:00:00,0.0,15179.0,-4847.152100000001,-0.0,-0.0,4847.152100000001,380.0,12037477.23849,6046194.4722799985
2025-01-07 23:00:00,0.0,15179.0,-7708.90337,-0.0,-0.0,7708.90337,380.0,12022299.23849,6053904.375649999
2025-01-08 00:00:00,0.0,15179.0,-6564.360710000001,-0.0,-0.0,6564.360710000001,380.0,12007121.23849,6060469.736359999
2025-01-08 01:00:00,0.0,15179.0,-6952.31986,-0.0,-0.0,6952.31986,380.0,11991943.23849,6067423.056219999
2025-01-08 02:00:00,0.0,15179.0,-6960.873229999999,-0.0,-0.0,6960.873229999999,380.0,11976765.23849,6074384.929449999
2025-01-08 03:00:00,0.0,15179.0,-5170.513080000001,-0.0,-0.0,5170.513080000001,380.0,11961587.23849,6079556.442529999
2025-01-08 04:00:00,0.0,15179.0,-3029.904260000001,-0.0,-0.0,3029.904260000001,380.0,11946409.23849,6082587.346789999
2025-01-08 05:00:00,0.0,15179.0,390.1103400000011,-0.0,-0.0,-0.0,380.0,11931231.23849,6082198.236449999
2025-01-08 06:00:00,0.0,15179.0,5952.1983999999975,-0.0,-0.0,-0.0,380.0,11916053.23849,6076247.038049999
2025-01-08 07:00:00,160.9999999990975,15179.0,10119.0,-0.0,-0.0,-0.0,210.52631579,11900875.23849,6066129.038049999
2025-01-08 08:00:00,200.0,15179.0,10119.0,-0.0,-0.0,-0.0,-0.0,11885697.23849,6056011.038049999
